"Data 
month",Data type,Nationality group,Nationality,All staff groups,All staff groups,HCHS doctors - All grades,HCHS doctors - Consultant,HCHS doctors - Associate Specialist,HCHS doctors - Specialty Doctor,HCHS doctors - Staff Grade,HCHS doctors - Specialty Registrar,HCHS doctors - Core Training,HCHS doctors - Foundation Doctor Year 2,HCHS doctors - Foundation Doctor Year 1,HCHS doctors - Hospital Practitioner / Clinical Assistant,HCHS doctors - Other HCHS Doctor Grades,Nurses & health visitors,Midwives,Ambulance staff,"Scientific, therapeutic & technical staff",All staff groups,"Support to doctors, nurses & midwives",Support to ambulance staff,Support to ST&T staff,All staff groups,Senior managers,Managers,Central functions,"Hotel, property & estates",Unknown classification
Jun-26,FTE,Rest of World,Australian,2577.59,2204.15,460.11,120.85,6.19,16.65,5.00,166.55,62.68,26.00,55.94,0.25,0.00,377.59,18.51,634.95,712.98,190.10,97.29,28.61,64.20,183.14,36.50,55.81,77.67,13.17,0.20
Jun-26,FTE,Rest of World,Azerbaijani,31.17,20.08,19.08,4.00,0.00,1.20,0.00,4.00,8.00,1.88,0.00,0.00,0.00,0.00,0.00,0.00,1.00,10.09,6.09,0.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00
Jun-26,FTE,Rest of World,Bahamian,20.60,15.00,9.00,1.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,3.60,2.60,0.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00
Jun-26,FTE,Rest of World,Bahraini,163.56,159.12,154.51,14.65,2.00,3.80,0.00,68.74,42.31,16.00,7.00,0.00,0.00,2.00,0.00,0.00,2.61,3.88,1.88,0.00,2.00,0.56,0.00,0.00,0.00,0.56,0.00
Jun-26,FTE,Rest of World,Bangladeshi,2263.74,1375.72,1220.92,71.25,19.61,115.92,0.00,363.93,587.41,51.58,10.00,0.86,0.37,56.45,2.00,2.00,94.35,686.45,538.61,16.85,130.99,200.57,1.00,7.00,113.06,79.51,1.00
Jun-26,FTE,Rest of World,Barbadian,165.26,128.43,52.70,12.20,0.88,10.00,0.00,12.95,11.78,4.89,0.00,0.00,0.00,67.61,0.92,2.00,5.20,25.60,17.32,1.00,7.28,11.23,1.00,2.00,3.90,4.33,0.00
Jun-26,FTE,Rest of World,Basotho,29.83,26.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.83,1.00,0.00,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
Jun-26,FTE,Rest of World,Belarusian,42.18,27.64,16.73,2.99,0.50,1.00,0.00,4.60,5.00,1.00,1.00,0.64,0.00,4.62,0.00,0.00,6.29,9.25,5.75,1.00,2.50,5.29,0.00,1.00,2.60,1.69,0.00
Jun-26,FTE,Rest of World,Belizean,40.64,34.63,3.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,31.63,0.00,0.00,0.00,4.61,3.61,0.00,1.00,1.40,1.00,0.00,0.00,0.40,0.00
Jun-26,FTE,Rest of World,Beninese,15.40,8.13,1.62,0.00,0.00,0.00,0.00,0.62,1.00,0.00,0.00,0.00,0.00,2.61,0.00,0.00,3.90,4.00,4.00,0.00,0.00,3.27,0.00,0.10,1.00,2.17,0.00
Jun-26,FTE,Rest of World,Bermudian,5.60,4.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.60,0.60,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Jun-26,FTE,Rest of World,Bhutanese,46.73,18.00,11.00,0.00,0.00,4.00,0.00,5.00,1.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,3.00,15.61,14.61,0.00,1.00,13.12,0.00,0.00,0.00,13.12,0.00
